"IDNO"	"KING"	"FAMI"	"ENGT"
762	"B"	"Araceae"	"dieffenbachia, spotted"
763	"B"	"Moraceae"	"fig, banjo"
764	"B"	"Araceae"	"monstera"
765	"B"	"Araceae"	"philodendron"
766	"B"	"Araceae"	"philodendron, climbing"
767	"B"	"Arecaceae"	"palm, Canary date"
770	"B"	"Amaryllidaceae"	"lily, spider"
771	"B"	"Amaryllidaceae"	"sea daffodil"
772	"B"	"Styracaceae"	"styrax"
773	"B"	"Euphorbiaceae"	"croton, true"
775	"B"	"Cucurbitaceae"	"chayote"
779	"B"	"Cannabaceae"	"marijuana"
785	"B"	"Plantaginaceae"	"plantain, great"
789	"B"	"Verbenaceae"	"casch"
794	"B"	"Bambusoideae"	"reed"
799	"Z"	"Cyprinidae"	"rasbora, ?"
800	"Z"	"Stromateidae"	"pomfret, silver"
801	"Z"	"Cyprinidae"	"rasbora, ?"
802	"Z"	"Cyprinidae"	"carp, common silver"
803	"Z"	"Cyprinidae"	"barb, metallic"
804	"Z"	"Cyprinidae"	"barb, red-cheek"
805	"Z"	"Cyprinidae"	"minnow, ?"
806	"Z"	"Cyprinidae"	"carp, transverse-bar"
807	"Z"	"Cyprinidae"	"barb, golden little"
808	"Z"	"Cyprinidae"	"barb, ?"
809	"Z"	"Cyprinidae"	"barb"
810	"Z"	"Notopteridae"	"featherback, spotted"
811	"Z"	"Viverridae"	"mongoose, Java"
812	"Z"	"Felidae"	"cat, fishing golden"
813	"Z"	"Cuculidae"	"koel, common"
814	"Z"	"Rhipiduridae"	"fantail, pied"
815	"Z"	"Alcedinidae"	"kingfisher, common"
816	"Z"	"Alcedinidae"	"kingfisher, Blyth's"
817	"B"	"Mimosaceae"	"wattle, black"
819	"Z"	"Cercopithecidae"	"langur, snub-nosed"
820	"Z"	"Phasianidae"	"pheasant, Hatinh"
821	"Z"	"Vespertilionidae"	"pipistrelle, Javan"
822	"Z"	"Phasianidae"	"pheasant, imperial"
823	"Z"	"Cervidae"	"deer, dotted ?"
824	"B"	"Bignoniaceae"	"trumpet tree, New World"
836	"B"	"Musaceae"	"banana, wild"
839	"B"	"Malvaceae"	"mahoe, Pacific"
840	"B"	"Malvaceae"	"roselle"
841	"B"	"Annonaceae"	"ylang-ylang, climbing"
844	"B"	"Pandanaceae"	"screw pine"
852	"B"	"Apocynaceae"	"cerbera, yellow-eyed"
853	"B"	"Apocynaceae"	"cerbera, pink-eyed"
856	"B"	"Asteraceae"	"jack-in-the-bush"
860	"B"	"Arecaceae"	"palm, fish-tail"
862	"B"	"Arecaceae"	"date, ?"
